a/g,ax,ay,az,gx,gy,gz
-30,0,16348,55,-5,7
26,4,16420,39,14,8
-56,-14,16274,70,-31,4
-6,-34,16550,52,10,1
-2,4,16360,44,-39,0
32,-44,16496,45,-4,9
12,-142,16446,61,17,15
-20,-64,16398,59,6,7
28,-38,16466,35,7,4
-68,20,16376,48,7,6
26,-72,16340,55,-6,13
-72,-30,16396,41,-9,-1
-58,20,16450,40,28,11
58,-10,16528,55,15,12
68,-24,16384,39,7,7
-30,8,16502,54,2,1
-20,10,16550,36,4,3
14,-6,16460,55,12,-2
12,22,16414,47,5,7
-98,10,16486,34,16,18
-52,-34,16366,38,7,0
-46,16,16348,55,7,4
-32,-92,16440,59,20,6
58,-26,16350,57,-10,-17
-48,-14,16428,47,22,-2
62,-22,16490,58,22,3
-20,-14,16492,63,-9,0
-22,-24,16534,41,-3,-3
-42,14,16486,71,14,12
-6,8,16368,46,10,-11
-26,-28,16466,61,8,1
-80,-44,16354,39,7,6
-18,-72,16418,34,-7,14
-40,34,16392,49,14,-7
10,-40,16476,61,4,-6
-78,-52,16480,32,5,8
-40,2,16386,56,-3,16
-4,36,16438,49,-11,21
34,-24,16350,51,-2,11
20,-116,16426,55,6,3
16,54,16404,40,5,8
-28,-28,16536,40,6,8
-66,4,16428,48,-9,10
4,-32,16480,44,0,-2
-8,26,16476,43,-2,2
20,4,16424,41,6,-8
-26,48,16386,42,4,2
88,46,16566,61,11,4
-102,38,16430,40,9,0
58,4,16526,52,5,0
-14,8,16322,56,4,8
-8,38,16386,39,-13,4
-14,18,16324,42,27,7
-66,2,16326,59,2,2
22,10,16370,42,-1,4
0,0,16372,45,5,9
-10,14,16390,36,7,8
-30,4,16416,51,-5,-5
-8,-60,16300,35,7,-3
-88,4,16454,43,11,1
-14,24,16492,55,11,2
-52,-34,16472,58,8,12
-12,20,16456,52,-15,7
-2,-44,16400,53,-4,6
14,26,16444,46,-30,3
-108,10,16372,64,-71,9
-22,-88,16428,57,-5,1
78,-16,16438,62,24,15
-10,-26,16286,49,32,4
-100,-44,16406,55,30,1
92,-122,16452,102,-78,-11
-64,-44,16516,60,-25,5
-22,-76,16400,40,18,0
-20,-18,16466,42,18,5
4,16,16552,54,18,2
28,-34,16380,53,2,8
-10,40,16428,49,4,11
-84,-68,16470,34,5,-3
-36,54,16238,49,-6,4
34,36,16510,49,10,13
-14,30,16348,56,-19,-15
48,24,16306,50,6,-2
-64,8,16486,46,-11,-10
-56,-22,16384,34,19,9
-36,12,16332,58,9,8
-74,-54,16468,54,5,1
22,0,16362,34,3,5
4,-48,16344,57,10,7
42,56,16376,48,1,1
-18,-2,16402,49,-1,5
6,0,16410,43,22,2
22,74,16432,44,28,0
0,4,16446,55,-8,-2
-14,12,16392,53,14,-3
2,46,16402,48,19,-6
62,4,16416,47,-9,7
8,-2,16550,59,-1,-11
-14,60,16270,50,8,-7
-12,-22,16548,41,22,17
2,12,16396,49,16,4
80,36,16208,30,-23,11
0,-28,16432,71,-45,4
28,-4,16448,58,-33,13
-20,-28,16406,36,31,14
-18,42,16314,57,-1,5
-128,46,16340,48,22,-4
70,-10,16382,53,12,10
30,-18,16336,41,-5,7
-22,-60,16496,53,-1,6
26,44,16368,58,6,-1
-56,-20,16442,51,-2,17
12,4,16356,40,18,12
22,60,16426,46,22,8
84,26,16308,65,-8,-6
44,-8,16346,43,2,-9
40,2,16372,49,7,-9
-36,38,16216,54,4,8
-104,-22,16522,53,6,8
54,-4,16358,46,1,2
-68,24,16288,39,16,-4
42,4,16420,45,3,1
32,-24,16400,53,18,-4
12,-34,16512,49,7,-5
8,74,16414,52,-9,5
62,24,16416,49,-6,1
26,-76,16504,58,2,0
-8,-22,16350,44,7,9
6,-66,16442,45,10,1
8,-20,16440,37,12,19
-22,8,16308,45,13,8
-64,32,16328,53,9,2
-66,-16,16248,44,10,16
2,16,16434,37,8,20
6,20,16400,53,0,11
-96,24,16428,58,15,-3
-4,-18,16370,55,1,2
-40,-66,16454,49,12,-5
-8,4,16284,39,11,13
-26,6,16402,57,13,-7
10,-32,16458,44,-4,-11
-54,-64,16404,43,21,0
40,-48,16356,43,7,17
30,-40,16412,49,10,7
6,6,16366,63,15,6
2,-30,16356,43,5,9
-16,24,16364,51,6,3
16,0,16356,46,12,4
-62,28,16532,48,16,-2
2,-4,16316,54,2,-2
-60,64,16300,54,0,-4
-78,-44,16460,55,8,-4
44,18,16384,64,25,-7
42,-30,16398,53,-6,8
-12,-66,16364,43,6,4
32,10,16498,52,1,6
18,-58,16518,44,13,11
-30,-14,16368,46,2,-1
0,14,16434,53,13,14
60,-12,16358,52,-8,19
-38,18,16404,50,8,11
-64,38,16398,54,-6,9
-40,-24,16420,59,20,0
12,58,16398,58,12,10
4,-14,16420,40,23,-8
54,40,16314,67,-39,10
28,-28,16372,43,16,2
-70,-26,16528,34,29,23
-6,2,16314,58,-14,6
-46,-90,16280,40,-4,6
-38,-8,16488,43,27,12
-24,40,16300,44,-4,8
22,20,16506,44,-9,13
-22,10,16566,62,-15,8
-28,-22,16486,53,3,2
-40,14,16274,23,-2,19
-32,-60,16288,56,16,-3
-54,-24,16502,67,10,6
-8,4,16400,50,8,7
20,26,16470,42,-9,-2
36,-40,16372,55,14,8
-104,-42,16448,57,10,-2
-18,-12,16472,49,-10,-9
-42,68,16438,32,30,5
-42,-72,16322,40,27,-1
52,-4,16474,60,-29,15
-6,-62,16528,50,9,19
-28,-80,16554,63,2,1
-44,-16,16446,78,-19,8
-22,40,16272,56,-9,13
-64,-14,16432,58,-2,3
-20,-44,16422,59,25,0
78,30,16402,49,14,10
12,30,16376,44,2,0
8,-32,16308,53,11,-2
16,-12,16448,43,18,4
62,-40,16478,44,1,-7
8,-30,16460,51,2,8
24,-102,16348,51,0,-5
